,latitude,longitude
540,37.4887422,126.9661798
541,37.6284414,127.0573072
542,37.6207022,127.054001
543,37.6365089,127.017114
544,37.5039658,127.061898
545,37.537794,126.8409157
546,37.553399,127.012012
547,37.5432423,126.9876591
548,37.6706636,127.0566788
549,37.6872944,126.7628898
550,37.5748665,126.8114926
551,37.7279027,127.059496
552,37.4843415,126.8672537
553,37.6159868,127.0336239
554,37.6244222,127.0322762
555,37.5520425,127.0344339
556,37.652978,127.126102
557,37.5363092,126.8163677
558,37.5122132,127.0939144
559,37.5345469,126.9465552
560,37.5768335,127.0763833
561,37.5361311,126.8466849
562,37.6251751,127.0672913
563,37.6319282,127.0136369
564,37.4670229,127.1188445
565,37.6208649,127.0453126
566,37.5660689,126.8972675
567,37.6632259,127.1265771
568,37.5676036,127.0090234
569,37.5058067,127.0485231
570,37.6610564,127.1191756
571,37.5932724,127.001531
572,37.4623284,127.022193
573,37.4915573,126.8759201
574,37.5550652,126.8654574
575,37.5291208,126.8518066
576,37.5435687,126.9576924
577,37.4784308,126.8135423
578,37.6302927,127.0771008
579,37.49493,126.9600224
580,37.630667,127.0451859
581,37.5279372,126.9546791
582,37.4739743,126.8981181
583,37.6042522,126.9614907
